date,region,product,sales,quantity,customer_age,rating,is_promotion,revenue,profit,month,quarter,weekday,age_group,sales_category
2024-01-01,Запад,Телефон,1035.54,5,37.0,2.5,False,5177.7,1553.31,1,1,Monday,36-50,Medium
2024-01-02,Восток,Планшет,732.93,2,24.0,3.1,False,1465.86,439.758,1,1,Tuesday,18-25,Low
2024-01-03,Север,Ноутбук,1076.04,1,33.0,4.4,False,1076.04,322.81199999999995,1,1,Wednesday,26-35,Medium
2024-01-04,Запад,Ноутбук,1122.12,1,54.0,3.3,True,1122.12,336.63599999999997,1,1,Thursday,50+,Medium
2024-01-05,Запад,Ноутбук,1111.96,7,46.0,1.2,True,7783.72,2335.116,1,1,Friday,36-50,Medium
2024-01-06,Восток,Ноутбук,1216.16,5,29.0,3.6,False,6080.8,1824.24,1,1,Saturday,26-35,High
2024-01-07,Север,Монитор,1166.78,5,34.0,1.0,False,5833.9,1750.1699999999998,1,1,Sunday,26-35,Medium
2024-01-08,Север,Ноутбук,1091.84,8,65.0,4.1,False,8734.72,2620.4159999999997,1,1,Monday,50+,Medium
2024-01-09,Запад,Монитор,985.97,3,37.0,3.7,True,2957.91,887.3729999999999,1,1,Tuesday,36-50,Medium
2024-01-10,Юг,Монитор,667.81,5,43.0,2.2,True,3339.0499999999997,1001.7149999999999,1,1,Wednesday,36-50,Low
2024-01-11,Запад,Ноутбук,1016.46,3,65.0,2.2,False,3049.38,914.814,1,1,Thursday,50+,Medium
2024-01-12,Запад,Ноутбук,1016.46,5,36.0,4.2,False,5082.3,1524.69,1,1,Friday,36-50,Medium
2024-01-13,Запад,Телефон,1016.46,1,64.0,4.1,True,1016.46,304.938,1,1,Saturday,50+,Medium
2024-01-14,Запад,Планшет,1016.46,7,29.0,2.4,False,7115.22,2134.566,1,1,Sunday,26-35,Medium
2024-01-15,Восток,Ноутбук,1016.46,2,38.0,2.2,False,2032.92,609.876,1,1,Monday,36-50,Medium
